success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,expected_response,correct,uid,text1,correct_response,loop_step
TRUE,fullscreen,0,43599,0.0-0.0,,,,,,,,,
,html-keyboard-response,1,44756,0.0-1.0,1153,Please make sure that your keyboard is in English mode. Press 'A' to continue,a,,,,,,
,html-keyboard-response,2,45841,0.0-2.0-1.0,1084,"<p style=""font-size: 25px;"">press space to start the next program<br>>>>>>></p>", ,,,,,,
,html-keyboard-response,3,47192,0.0-2.0-2.0,1348,"<div><div style="" font-size:25px; color:green;""><a style=""white-space:pre-wrap;""> a = 11</a><a style=""""></a></div></div>",,null,,55,a = 11,,
,html-keyboard-response,4,54960,0.0-2.0-4.0-0.0,7265,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a >= 5:
   a += 4
   a /= 3</a><a style=""""></a></div></div>",t,,1,,,15,0
,html-keyboard-response,5,57975,0.0-2.0-4.0-2.0,2504,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a >= 5:
   a += 4
   a /= 3</a><a style=""""></a></div></div>",5,,1,,,5,1
,html-keyboard-response,6,62591,0.0-2.0-4.0-4.0,4106,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a >= 5:
   a += 4
   a /= 3</a><a style=""""></a></div></div>",9,,1,,,9,2
,html-keyboard-response,7,64487,0.0-2.0-4.0-6.0,1391,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a >= 5:
   a += 4
   a /= 3</a><a style=""""></a></div></div>",3,,1,,,3,3
,html-keyboard-response,8,66525,0.0-2.0-4.0-8.0-0.0,1533,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a >= 5:
   a += 4
   a /= 3</a><a style=""""></a></div></div>",backspace,,1,,,backspace,
,html-keyboard-response,9,80810,0.0-2.0-5.0-0.0,13777,"<div><div style=""""><a style=""white-space:pre-wrap;""> for i in [1, 2]:
   a = round_down(a*2.5)</a><a style=""""></a></div></div>",0,,0,,,7,0
,html-keyboard-response,11,90859,0.0-2.0-5.0-2.0,8538,"<div><div style=""""><a style=""white-space:pre-wrap;""> for i in [1, 2]:
   a = round_down(a*2.5)</a><a style=""""></a></div></div>",u,,1,,,17,1
,html-keyboard-response,12,92740,0.0-2.0-5.0-4.0-0.0,1371,"<div><div style=""""><a style=""white-space:pre-wrap;""> for i in [1, 2]:
   a = round_down(a*2.5)</a><a style=""""></a></div></div>",backspace,,1,,,backspace,
,html-keyboard-response,13,100986,0.0-2.0-6.0-0.0,7737,"<div><div style=""""><a style=""white-space:pre-wrap;""> for i in [1, 2, 3, 4]:
   a = average(a,1)</a><a style=""""></a></div></div>",9,,1,,,9,0
,html-keyboard-response,14,106996,0.0-2.0-6.0-2.0,5508,"<div><div style=""""><a style=""white-space:pre-wrap;""> for i in [1, 2, 3, 4]:
   a = average(a,1)</a><a style=""""></a></div></div>",5,,1,,,5,1
,html-keyboard-response,15,113919,0.0-2.0-6.0-4.0,6416,"<div><div style=""""><a style=""white-space:pre-wrap;""> for i in [1, 2, 3, 4]:
   a = average(a,1)</a><a style=""""></a></div></div>",3,,1,,,3,2
,html-keyboard-response,16,117587,0.0-2.0-6.0-6.0,3164,"<div><div style=""""><a style=""white-space:pre-wrap;""> for i in [1, 2, 3, 4]:
   a = average(a,1)</a><a style=""""></a></div></div>",2,,1,,,2,3
,html-keyboard-response,17,118753,0.0-2.0-6.0-8.0-0.0,657,"<div><div style=""""><a style=""white-space:pre-wrap;""> for i in [1, 2, 3, 4]:
   a = average(a,1)</a><a style=""""></a></div></div>",backspace,,1,,,backspace,
,html-keyboard-response,18,127740,0.0-2.0-7.0-0.0,8484,"<div><div style=""""><a style=""white-space:pre-wrap;""> for i in [1, 2]:
   a *= 3
   a -= 1</a><a style=""""></a></div></div>",6,,1,,,6,0
,html-keyboard-response,19,129600,0.0-2.0-7.0-2.0,1351,"<div><div style=""""><a style=""white-space:pre-wrap;""> for i in [1, 2]:
   a *= 3
   a -= 1</a><a style=""""></a></div></div>",5,,1,,,5,1
,html-keyboard-response,20,134338,0.0-2.0-7.0-4.0,4225,"<div><div style=""""><a style=""white-space:pre-wrap;""> for i in [1, 2]:
   a *= 3
   a -= 1</a><a style=""""></a></div></div>",t,,1,,,15,2
,html-keyboard-response,21,135350,0.0-2.0-7.0-6.0,504,"<div><div style=""""><a style=""white-space:pre-wrap;""> for i in [1, 2]:
   a *= 3
   a -= 1</a><a style=""""></a></div></div>",r,,1,,,14,3
,html-keyboard-response,22,136413,0.0-2.0-7.0-8.0-0.0,552,"<div><div style=""""><a style=""white-space:pre-wrap;""> for i in [1, 2]:
   a *= 3
   a -= 1</a><a style=""""></a></div></div>",backspace,,1,,,backspace,
,html-keyboard-response,23,145046,0.0-2.0-8.0-0.0,8122,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a >= 4:
   a -= 5
   a += 1</a><a style=""""></a></div></div>",9,,1,,,9,0
,html-keyboard-response,24,146718,0.0-2.0-8.0-2.0,1165,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a >= 4:
   a -= 5
   a += 1</a><a style=""""></a></div></div>",0,,1,,,10,1
,html-keyboard-response,25,149678,0.0-2.0-8.0-4.0,2453,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a >= 4:
   a -= 5
   a += 1</a><a style=""""></a></div></div>",5,,1,,,5,2
,html-keyboard-response,26,152415,0.0-2.0-8.0-6.0,2229,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a >= 4:
   a -= 5
   a += 1</a><a style=""""></a></div></div>",6,,1,,,6,3
,html-keyboard-response,27,155674,0.0-2.0-8.0-8.0,2749,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a >= 4:
   a -= 5
   a += 1</a><a style=""""></a></div></div>",1,,1,,,1,4
,html-keyboard-response,28,157387,0.0-2.0-8.0-10.0,1211,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a >= 4:
   a -= 5
   a += 1</a><a style=""""></a></div></div>",2,,1,,,2,5
,html-keyboard-response,29,160214,0.0-2.0-8.0-12.0-0.0,2317,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a >= 4:
   a -= 5
   a += 1</a><a style=""""></a></div></div>",backspace,,1,,,backspace,
,html-keyboard-response,30,166155,0.0-2.0-9.0-0.0,5435,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a <= 15:
   a *= 3</a><a style=""""></a></div></div>",6,,1,,,6,0
