success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,expected_response,correct,uid,text1,correct_response,loop_step
TRUE,fullscreen,0,4396,0.0-0.0,,,,,,,,,
,html-keyboard-response,1,6939,0.0-1.0,2538,Please make sure that your keyboard is in English mode. Press 'A' to continue,a,,,,,,
,html-keyboard-response,2,8840,0.0-2.0-1.0,1899,"<p style=""font-size: 25px;"">Please press space to start the next program<br>>>>>>></p>", ,,,,,,
,html-keyboard-response,3,13053,0.0-2.0-2.0,4210,"<div><div style="" font-size:25px; color:green;""><a style=""white-space:pre-wrap;""> a = 18</a><a style=""""></a></div></div>",,null,,28,a = 18,,
,html-keyboard-response,4,16515,0.0-2.0-4.0-0.0-0.0,2947,"<div><div style=""""><a style=""white-space:pre-wrap;""> for i in [1, 2]:
   a /= 3
   a *= 2</a><a style=""""></a></div></div>",6,,1,,,6,0
,html-keyboard-response,5,17934,0.0-2.0-4.0-1.0-0.0,911,"<div><div style=""""><a style=""white-space:pre-wrap;""> for i in [1, 2]:
   a /= 3
   a *= 2</a><a style=""""></a></div></div>",12,,1,,,12,1
,html-keyboard-response,6,19950,0.0-2.0-4.0-2.0-0.0,1505,"<div><div style=""""><a style=""white-space:pre-wrap;""> for i in [1, 2]:
   a /= 3
   a *= 2</a><a style=""""></a></div></div>",4,,1,,,4,2
,html-keyboard-response,7,22658,0.0-2.0-4.0-3.0-0.0,2203,"<div><div style=""""><a style=""white-space:pre-wrap;""> for i in [1, 2]:
   a /= 3
   a *= 2</a><a style=""""></a></div></div>",8,,1,,,8,3
,html-keyboard-response,8,23507,0.0-2.0-4.0-4.0-0.0,334,"<div><div style=""""><a style=""white-space:pre-wrap;""> for i in [1, 2]:
   a /= 3
   a *= 2</a><a style=""""></a></div></div>",backspace,,1,,,backspace,
,html-keyboard-response,9,27991,0.0-2.0-5.0-0.0-0.0,3971,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a >= 2:
   a /= 2</a><a style=""""></a></div></div>",4,,1,,,4,0
,html-keyboard-response,10,29719,0.0-2.0-5.0-1.0-0.0,1218,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a >= 2:
   a /= 2</a><a style=""""></a></div></div>",2,,1,,,2,1
,html-keyboard-response,11,32369,0.0-2.0-5.0-2.0-0.0,2142,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a >= 2:
   a /= 2</a><a style=""""></a></div></div>",1,,1,,,1,2
,html-keyboard-response,12,33709,0.0-2.0-5.0-3.0-0.0,836,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a >= 2:
   a /= 2</a><a style=""""></a></div></div>",backspace,,1,,,backspace,
,html-keyboard-response,13,37574,0.0-2.0-6.0-0.0-0.0,3357,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a <= 7:
   a += 2</a><a style=""""></a></div></div>",3,,1,,,3,0
,html-keyboard-response,14,39802,0.0-2.0-6.0-1.0-0.0,1716,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a <= 7:
   a += 2</a><a style=""""></a></div></div>",5,,1,,,5,1
,html-keyboard-response,15,42093,0.0-2.0-6.0-2.0-0.0,1778,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a <= 7:
   a += 2</a><a style=""""></a></div></div>",7,,1,,,7,2
,html-keyboard-response,16,44173,0.0-2.0-6.0-3.0-0.0,1569,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a <= 7:
   a += 2</a><a style=""""></a></div></div>",9,,1,,,9,3
,html-keyboard-response,17,45029,0.0-2.0-6.0-4.0-0.0,343,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a <= 7:
   a += 2</a><a style=""""></a></div></div>",backspace,,1,,,backspace,
,html-keyboard-response,18,49878,0.0-2.0-7.0-0.0-0.0,4342,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a >= 6:
   a += 9
   a /= 3</a><a style=""""></a></div></div>",18,,1,,,18,0
,html-keyboard-response,19,52298,0.0-2.0-7.0-1.0-0.0,1915,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a >= 6:
   a += 9
   a /= 3</a><a style=""""></a></div></div>",6,,1,,,6,1
,html-keyboard-response,20,58063,0.0-2.0-7.0-2.0-0.0,5258,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a >= 6:
   a += 9
   a /= 3</a><a style=""""></a></div></div>",15,,1,,,15,2
,html-keyboard-response,21,59106,0.0-2.0-7.0-3.0-0.0,530,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a >= 6:
   a += 9
   a /= 3</a><a style=""""></a></div></div>",5,,1,,,5,3
,html-keyboard-response,22,60685,0.0-2.0-7.0-4.0-0.0,1072,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a >= 6:
   a += 9
   a /= 3</a><a style=""""></a></div></div>",backspace,,1,,,backspace,
,html-keyboard-response,23,75890,0.0-2.0-8.0-0.0-0.0,14699,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a <= 11:
   a = round_down(a*1.5)</a><a style=""""></a></div></div>",7,,1,,,7,0
