success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,expected_response,correct,uid,text1,correct_response,loop_step
TRUE,fullscreen,0,19712,0.0-0.0,,,,,,,,,
,html-keyboard-response,1,24822,0.0-1.0,5105,Please make sure that your keyboard is in English mode. Press 'A' to continue,a,,,,,,
,html-keyboard-response,2,27152,0.0-2.0-1.0,2328,"<p style=""font-size: 25px;"">Please press space to start the next program<br>>>>>>></p>", ,,,,,,
,html-keyboard-response,3,31948,0.0-2.0-2.0,4795,"<div><div style="" font-size:25px; color:green;""><a style=""white-space:pre-wrap;""> a = 8</a><a style=""""></a></div></div>",,null,,37,a = 8,,
,html-keyboard-response,4,33700,0.0-2.0-4.0-0.0-0.0,1245,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a <= 17:
   a -= 2
   a += 6</a><a style=""""></a></div></div>",6,6,1,38,"while a <= 17:
   a -= 2
   a += 6",6,0
,html-keyboard-response,5,35087,0.0-2.0-4.0-1.0-0.0,876,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a <= 17:
   a -= 2
   a += 6</a><a style=""""></a></div></div>",12,12,1,38,"while a <= 17:
   a -= 2
   a += 6",12,1
,html-keyboard-response,6,37718,0.0-2.0-4.0-2.0-0.0,2120,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a <= 17:
   a -= 2
   a += 6</a><a style=""""></a></div></div>",10,10,1,38,"while a <= 17:
   a -= 2
   a += 6",10,2
,html-keyboard-response,7,39395,0.0-2.0-4.0-3.0-0.0,1161,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a <= 17:
   a -= 2
   a += 6</a><a style=""""></a></div></div>",16,16,1,38,"while a <= 17:
   a -= 2
   a += 6",16,3
,html-keyboard-response,8,42026,0.0-2.0-4.0-4.0-0.0,2116,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a <= 17:
   a -= 2
   a += 6</a><a style=""""></a></div></div>",14,14,1,38,"while a <= 17:
   a -= 2
   a += 6",14,4
,html-keyboard-response,9,43665,0.0-2.0-4.0-5.0-0.0,1130,"<div><div style=""""><a style=""white-space:pre-wrap;""> while a <= 17:
   a -= 2
   a += 6</a><a style=""""></a></div></div>",20,20,1,38,"while a <= 17:
   a -= 2
   a += 6",20,5
