trial_order,variables,var_mapping,uid,trial_set,trial,core_program,variant,step,step_id,text1,text2,response_needed,expected_response,is_loop,loop_type,loop_type_switch,n_iterations,n_loop_lines,updated_var
1,"a,i",1=a;2=i,37,2,1005,3,FWWWFFFW,1,1,a = 8,,0,,0,,,1,0,a
1,"a,i",1=a;2=i,38,2,1005,3,FWWWFFFW,2,2,"for i in [1, 2, 3]:
   a -= 2
   a += 6",,1,"[6, 12, 10, 16, 14, 20]",1,for,,3,2,a
1,"a,i",1=a;2=i,39,2,1005,3,FWWWFFFW,3,3,"while a >= 8:
   a /= 2",,1,"[10, 5]",1,while,1,2,1,a
1,"a,i",1=a;2=i,40,2,1005,3,FWWWFFFW,4,4,"while a <= 15:
   a = round_up(a*1.5)",,1,"[8, 12, 18]",1,while,0,3,1,a
1,"a,i",1=a;2=i,41,2,1005,3,FWWWFFFW,5,5,"while a >= 4:
   a = average(a,2)",,1,"[10, 6, 4, 3]",1,while,0,4,1,a
1,"a,i",1=a;2=i,42,2,1005,3,FWWWFFFW,6,6,"for i in [1, 2]:
   a += 7
   a /= 2",,1,"[10, 5, 12, 6]",1,for,1,2,2,a
1,"a,i",1=a;2=i,43,2,1005,3,FWWWFFFW,7,7,"for i in [1, 2, 3, 4]:
   a += 3",,1,"[9, 12, 15, 18]",1,for,0,4,1,a
1,"a,i",1=a;2=i,44,2,1005,3,FWWWFFFW,8,8,"for i in [1, 2]:
   a /= 3
   a *= 2",,1,"[6, 12, 4, 8]",1,for,0,2,2,a
1,"a,i",1=a;2=i,45,2,1005,3,FWWWFFFW,9,9,"while a >= 3:
   a *= 2
   a -= 9",,1,"[16, 7, 14, 5, 10, 1]",1,while,1,3,2,a
2,"a,i",1=a;2=i,19,2,3,2,WWFWFFWW,1,1,a = 18,,0,,0,,,1,0,a
2,"a,i",1=a;2=i,20,2,3,2,WWFWFFWW,2,2,"while a >= 10:
   a /= 3
   a *= 2",,1,"[6, 12, 4, 8]",1,while,,2,2,a
2,"a,i",1=a;2=i,21,2,3,2,WWFWFFWW,3,3,"while a >= 2:
   a /= 2",,1,"[4, 2, 1]",1,while,0,3,1,a
2,"a,i",1=a;2=i,22,2,3,2,WWFWFFWW,4,4,"for i in [1, 2, 3, 4]:
   a += 2",,1,"[3, 5, 7, 9]",1,for,1,4,1,a
2,"a,i",1=a;2=i,23,2,3,2,WWFWFFWW,5,5,"while a >= 6:
   a += 9
   a /= 3",,1,"[18, 6, 15, 5]",1,while,1,2,2,a
2,"a,i",1=a;2=i,24,2,3,2,WWFWFFWW,6,6,"for i in [1, 2, 3]:
   a = round_down(a*1.5)",,1,"[7, 10, 15]",1,for,1,3,1,a
2,"a,i",1=a;2=i,25,2,3,2,WWFWFFWW,7,7,"for i in [1, 2]:
   a = average(a,3)",,1,"[9, 6]",1,for,0,2,1,a
2,"a,i",1=a;2=i,26,2,3,2,WWFWFFWW,8,8,"while a <= 11:
   a *= 2
   a -= 5",,1,"[12, 7, 14, 9, 18, 13]",1,while,1,3,2,a
2,"a,i",1=a;2=i,27,2,3,2,WWFWFFWW,9,9,"while a >= 6:
   a += 4
   a -= 7",,1,"[17, 10, 14, 7, 11, 4]",1,while,0,3,2,a
3,"a,i",1=a;2=i,100,2,12,6,FFWWFWWF,1,1,a = 9,,0,,0,,,1,0,a
3,"a,i",1=a;2=i,101,2,12,6,FFWWFWWF,2,2,"for i in [1, 2]:
   a /= 3",,1,"[3, 1]",1,for,,2,1,a
3,"a,i",1=a;2=i,102,2,12,6,FFWWFWWF,3,3,"for i in [1, 2, 3]:
   a += 6",,1,"[7, 13, 19]",1,for,0,3,1,a
3,"a,i",1=a;2=i,103,2,12,6,FFWWFWWF,4,4,"while a >= 10:
   a += 1
   a -= 8",,1,"[20, 12, 13, 5]",1,while,1,2,2,a
3,"a,i",1=a;2=i,104,2,12,6,FFWWFWWF,5,5,"while a <= 6:
   a *= 3
   a -= 9",,1,"[15, 6, 18, 9]",1,while,0,2,2,a
3,"a,i",1=a;2=i,105,2,12,6,FFWWFWWF,6,6,"for i in [1, 2, 3]:
   a = average(a, 1)",,1,"[5, 3, 2]",1,for,1,3,1,a
3,"a,i",1=a;2=i,106,2,12,6,FFWWFWWF,7,7,"while a <= 9:
   a -= 1
   a *= 5",,1,"[1, 5, 4, 20]",1,while,1,2,2,a
3,"a,i",1=a;2=i,107,2,12,6,FFWWFWWF,8,8,"while a >= 12:
   a -= 3",,1,"[17, 14, 11]",1,while,0,3,1,a
3,"a,i",1=a;2=i,108,2,12,6,FFWWFWWF,9,9,"for i in [1, 2]:
   a -= 5",,1,"[6, 1]",1,for,1,2,1,a
4,"a,i",1=a;2=i,64,2,8,4,FFWFFWFF,1,1,a = 11,,0,,0,,,1,0,a
4,"a,i",1=a;2=i,65,2,8,4,FFWFFWFF,2,2,"for i in [1, 2]:
   a += 4
   a /= 3",,1,"[15, 5, 9, 3]",1,for,,2,2,a
4,"a,i",1=a;2=i,66,2,8,4,FFWFFWFF,3,3,"for i in [1, 2]:
   a = round_down(a*2.5)",,1,"[7, 17]",1,for,0,2,1,a
4,"a,i",1=a;2=i,67,2,8,4,FFWFFWFF,4,4,"while a >= 3:
   a = average(a,1)",,1,"[9, 5, 3, 2]",1,while,1,4,1,a
4,"a,i",1=a;2=i,68,2,8,4,FFWFFWFF,5,5,"for i in [1, 2]:
   a *= 3
   a -= 1",,1,"[6, 5, 15, 14]",1,for,1,2,2,a
4,"a,i",1=a;2=i,69,2,8,4,FFWFFWFF,6,6,"for i in [1, 2, 3]:
   a -= 5
   a += 1",,1,"[9, 10, 5, 6, 1, 2]",1,for,0,3,2,a
4,"a,i",1=a;2=i,70,2,8,4,FFWFFWFF,7,7,"while a <= 15:
   a *= 3",,1,"[6, 18]",1,while,1,2,1,a
4,"a,i",1=a;2=i,71,2,8,4,FFWFFWFF,8,8,"for i in [1, 2]:
   a /= 3
   a *= 2",,1,"[6, 12, 4, 8]",1,for,1,2,2,a
4,"a,i",1=a;2=i,72,2,8,4,FFWFFWFF,9,9,"for i in [1, 2, 3]:
   a += 4",,1,"[12, 16, 20]",1,for,0,3,1,a
5,"a,i",1=a;2=i,46,2,1006,3,WWFWWFWW,1,1,a = 8,,0,,0,,,1,0,a
5,"a,i",1=a;2=i,47,2,1006,3,WWFWWFWW,2,2,"while a <= 17:
   a -= 2
   a += 6",,1,"[6, 12, 10, 16, 14, 20]",1,while,,3,2,a
5,"a,i",1=a;2=i,48,2,1006,3,WWFWWFWW,3,3,"while a >= 8:
   a /= 2",,1,"[10, 5]",1,while,0,2,1,a
5,"a,i",1=a;2=i,49,2,1006,3,WWFWWFWW,4,4,"for i in [1, 2, 3]:
   a = round_up(a*1.5)",,1,"[8, 12, 18]",1,for,1,3,1,a
